OBJECTID,ADDRESS,CITY,COUNTY,OWNER,PHONE,SWING,AGENCY,CONTACT,LAST_UPDT,XY_SOURCE,XY_ISSUES,ATT_SOURCE,ATT_ISSUES,COMMENTS,FACILITYID,FACILITY,ZIP_CODE,OPERATOR,DEEMED,LIC_TYPE,ACUTE,ACUTE_REHAB,CRITICAL_ACCESS,CHEM_DEPEND,FSED,PSYCH_GENERAL,PSYCH_GERIATRIC,PSYCH_ADULT,PSYCH_ADOLESCENT,PSYCH_CHILD,TB,REHAB,LICENSE_EXP,DATECREATED,DATEMODIFIED,x,y
"47",81 Ball Park Rd,Harlan,Harlan,Appalachian Regional Healthcare Inc,606-573-8100,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100163",Harlan ARH Hospital,"40831",Donald Fields,Y,ACUTE,"120","0","0","0",N,"30","0","0","0","0","0","0",2020/10/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-83.3138046264,36.8099441528
"48",1210 KY-36,Cynthiana,Harrison,Harrison Memorial Hospital Inc,859-234-2300,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100167",Harrison Memorial Hospital,"41031",Sheila Currans,Y,ACUTE,"61","0","0","0",N,"0","0","0","0","0","0","0",2020/10/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-84.2774734493,38.3834991453
"49",1501 S Dixie St,Horse Cave,Hart,Bowling Green-Warren County Community Hospital Corporation,270-786-2191,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600065",The Medical Center at Caverna,"42749",Alan Alexander,N,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2021/01/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-85.9227752683,37.1610946655
"50",1305 N Elm St,Henderson,Henderson,Community United Methodist Hospital Inc,270-827-7700,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100173",Methodist Hospital,"42420",Benny Nolen,Y,ACUTE,"184","0","0","0",N,"8","0","0","0","0","0","0",2020/08/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-87.5817413332,37.8541526799
"51",900 Hospital Dr,Madisonville,Hopkins,"Baptist Health Madisonville, Inc.",270-825-5100,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100184",Baptist Health Madisonville,"42431",Michael Baumgartner,Y,ACUTE,"348","0","0","0",N,"22","0","0","0","0","0","20",2020/07/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-87.4931793215,37.3401107787
"52",4000 Kresge Way,Louisville,Jefferson,"Baptist Healthcare Systems, Inc.",502-897-8100,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100451",Baptist Health Louisville,"40207",David Gray,Y,ACUTE,"468","0","0","0",N,"22","0","0","0","0","0","29",2020/03/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-85.6388854985,38.2385368347
"53",10510 LaGrange Rd,Louisville,Jefferson,Commonwealth of KY,502-253-7045,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100198",Central State Hospital,"40223",Matt  Mooring,Y,PSY,"0","0","0","0",N,"192","0","0","0","0","0","0",2020/09/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-85.5587463377,38.2719459538
"54",220 Abraham Flexner Way,Louisville,Jefferson,"Jewish Hospital & St. Mary's Healthcare, Inc.",502-407-3242,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100244",Frazier Rehab Institute,"40202",Cathy Spalding,Y,REHAB,"0","0","0","0",N,"0","0","0","0","0","0","135",2020/11/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-85.7503738408,38.2490234375
"55",200 Abraham Flexner Way,Louisville,Jefferson,"Jewish Hospital & St. Mary's HealthCare, Inc.",502-587-4011,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100215",Jewish Hospital & St. Mary's Healthcare,"40202",Ron Waldridge II,Y,ACUTE,"442","0","0","0",Y,"20","0","0","0","0","0","0",2020/11/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-85.7510299679,38.2494926453
"56","3 Audubon Plaza Drive Lower, Level 2",Louisville,Jefferson,"Norton Hospital, Inc.",502-636-7006,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100252",Norton Audubon Hospital,"40217",Jon Cooper,y,ACUTE,"432","0","0","0",N,"0","0","0","0","0","0","0",2020/06/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-85.7236709594,38.2157707211
"57",4960 Norton Healthcare Blvd,Louisville,Jefferson,"Norton Hospitals, Inc.",502-446-8000,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100475",Norton Brownsboro Hospital,"40241",Andrew Strausbaugh,y,ACUTE,"127","0","0","0",N,"0","0","0","0","0","0","0",2020/08/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-85.5757827754,38.3152351383
"58",200 E Chestnut St,Louisville,Jefferson,"Norton Hospitals, Inc.",502-629-8000,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100234",Norton Hospital/Norton Medical Pavilion/Norton Children's Hospital,"40202",Matthew Ayers,Y,ACUTE,"859","0","0","0",Y,"46","0","0","0","0","0","0",2021/01/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-85.7506332400,38.2479934691
"59",4001 Dutchmans Ln,Louisville,Jefferson,"Norton Hospital, Inc.",502-893-1000,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100255",Norton Women's and Children's Hospital,"40207",Charlotte Ipsan,y,ACUTE,"373","0","0","0",N,"0","0","0","0","0","0","0",2020/07/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-85.6319198604,38.2351837161
"60","2020 Newburg Rd, Louisville, KY",Louisville,Jefferson,"Jewish Hospital & St. Mary's HealthCare, Inc.",502-451-3330,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100236",Our Lady of Peace,"40205",Martha Mather,Y,PSY,"0","0","0","0",N,"396","0","0","0","0","0","0",2020/07/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-85.7092285156,38.2172966006
"61",1850 Bluegrass Ave,Louisville,Jefferson,"Jewish Hospital & St. Mary's HealthCare, Inc.",502-361-6000,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100254",Saints Mary & Elizabeth Hospital,"40215",Charles Powell,Y,ACUTE,"298","0","0","0",Y,"0","0","0","0","0","0","0",2020/11/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-85.7949142454,38.1783065793
"62",1405 Browns Ln,Louisville,Jefferson,"TBD Acquisition, LLC",502-896-0495,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100595",The Brook - Dupont,"40207",Paul Andrews,Y,PSY,"0","0","0","12",N,"56","0","20","0","0","0","0",2020/12/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-85.6271972661,38.2354393004
"63",8521 La Grange Rd,Louisville,Jefferson,"KMI Acquisition, LLC",502-426-6380,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100241",The Brook Hospital - KMI,"40242",Paul Andrews,Y,PSY,"0","0","0","12",N,"86","0","0","0","0","0","0",2020/11/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-85.5964279172,38.2722969052
"64",530 S Jackson St,Louisville,Jefferson,University Medical Center Inc,502-562-3000,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100220",University Of Louisville Hospital,"40202",Ken Marshall,Y,ACUTE,"384","0","0","0",N,"20","0","0","0","0","0","0",2020/06/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-85.7447988828,38.2481742906
"65",625 James S Trimble Blvd,Paintsville,Johnson,"Paintsville Hospital Company, LLC",606-789-3511,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100263",Paul B Hall Regional Medical Center,"41240",Deborah L. Trimble,Y,ACUTE,"72","0","0","0",N,"0","0","0","0","0","0","0",2020/08/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-82.8131332403,37.8153266907
"66",201 Medical Village Dr,Edgewood,Kenton,"HealthSouth Northern Kentucky Rehabilitation Hospital, LLC",859-341-2044,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100592",Encompass Health Rehabilitation Hospital of Northern Kentucky,"41017",Jeremy Yates,Y,REHAB,"0","0","0","0",N,"0","0","0","0","0","0","51",2020/09/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-84.5666046147,39.0123367306
"67",1 Medical Village Dr,Edgewood,Kenton,St Elizabeth Medical Center Inc,859-301-2000,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100272",St. Elizabeth Medical Center,"41017",Garren Colvin,Y,ACUTE,"37","0","0","58",Y,"8","0","0","0","0","0","0",2020/12/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-84.5635757446,39.0139884950
"68",1 Medical Village Dr,Edgewood,Kenton,St Elizabeth Medical Center Inc,859-301-2000,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100500",St. Elizabeth Edgewood,"41017",Garren Colvin,Y,ACUTE,"498","0","0","0",N,"20","0","0","0","0","0","0",2020/12/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-84.5591659547,39.0120849605
"69",820 Dolwick Dr,Erlanger,Kenton,"Northern Kentucky Behavioral, LLC",732-747-1800,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100265",SUN Behavioral Health,"41018",Christopher Lockey,N,PSY,"0","0","0","86",N,"105","0","0","0","0","6","0",2021/02/28 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-84.5942077637,39.0387840270
"70",80 Hospital Dr (Cr-1618-10),Barbourville,Knox,"ARH Mary Breckinridge Health Services, Inc.",606-546-4175,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600080",Barbourville ARH Hospital,"40906",Charles Lovell,Y,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2020/07/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-83.8698043820,36.8508453368
"71",One Trillium Way,Corbin,Laurel,Baptist Healthcare System Inc,606-528-1212,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100417",Baptist Health Corbin,"40701",Anthony Powers,Y,ACUTE,"194","0","0","15",N,"0","0","36","8","0","0","20",2020/06/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-84.1201248170,36.9229545593
"72",1001 St Joseph Ln,London,Laurel,"Saint Joseph Health System, Inc.",606-330-6000,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100281",Saint Joseph Hospital London,"40741",Terrence Dies,Y,ACUTE,"150","0","0","0",N,"0","0","0","0","0","0","0",2020/05/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-84.1090698241,37.1181297299
"73",2485 KY-644,Louisa,Lawrence,Hospital Of Louisa Inc,606-638-9451,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100282",Three Rivers Medical Center,"41230",Greg Kiser,Y,ACUTE,"71","0","0","0",N,"19","0","0","0","0","0","0",2021/03/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-82.6046676637,38.0928001402
"74",130 Kate Ireland Dr,Hyden,Leslie,"ARH Mary Breckinridge Health Services, Inc.",606-672-2901,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600067",Mary Breckinridge ARH Hospital,"41749",Mallie Noble,N,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2020/03/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-83.3785858155,37.1638565060
"75",240 Hospital Rd,Whitesburg,Letcher,Appalachian Regional Healthcare Inc,606-633-3500,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100288",Whitesburg ARH Hospital,"41858",Dena Sparkman,Y,ACUTE,"90","0","0","0",N,"0","0","0","0","0","0","0",2020/07/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-82.8127288818,37.1135139463
"76",110 Metker Trail,Stanford,Lincoln,"Emhfl, Inc.",606-365-4788,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600066",Ephraim McDowell Fort Logan Hospital,"40484",Daniel McKay,Y,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2020/10/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-84.6531143193,37.5426521300
"77",131 Hospital Dr,Salem,Livingston,Livingston Hosp And Healthcare Svcs Inc,270-988-2299,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600071",Livingston Hosp. & Healthcare Svcs. Inc.,"42078",Kent Giles,N,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2020/11/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-88.2283248904,37.2631149290
"78",1623 Nashville St,Russellville,Logan,"Logan Memorial Hospital, LLC",270-726-4011,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100298",Logan Memorial Hospital,"42276",David Brash,Y,ACUTE,"75","0","0","0",N,"0","0","0","0","0","0","0",2020/08/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-86.8816070555,36.8156089785
"79",789 Eastern Bypass,Richmond,Madison,"Baptist Health Richmond, Inc.",859-623-3131,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100322",Baptist Health Richmond,"40475",C. Todd Jones,Y,ACUTE,"105","0","0","0",N,"0","0","0","0","0","0","0",2020/11/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-84.2930755619,37.7317581177
"80",305 Estill St,Berea,Madison,"Saint Joseph Health System, Inc.",859-986-6500,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600079",Saint Joseph Berea,"40403",Joshua Boyd Huffman,Y,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2021/01/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-84.2862854008,37.5764541626
"81",320 Loretto Rd,Lebanon,Marion,"Spring View Hospital, LLC",270-692-5145,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100327",Spring View Hospital,"40033",Timothy Trottier,Y,ACUTE,"63","0","0","0",N,"0","12","0","0","0","0","0",2020/07/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-85.2613525395,37.5699958801
"82",615 Old Symsonia Rd,Benton,Marshall,Marshall Co. Public Hospital District Corp,270-527-4800,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600078",Marshall County Hospital,"42025",David Fuqua,Y,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2020/07/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-88.3695373541,36.8672142025
"83",989 Medical Park Dr,Maysville,Mason,Meadowview Regional Medical Center Llc,606-759-5311,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100332",Meadowview Regional Medical Center,"41056",Joseph Koch,Y,ACUTE,"100","0","0","0",N,"0","0","0","0","0","0","0",2020/04/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-83.8078689571,38.6399116519
"84",2501 Kentucky Ave,Paducah,McCracken,Baptist Healthcare Systems Inc,270-575-2100,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100313",Baptist Health Paducah,"42003",Chris   Roty,Y,ACUTE,"349","0","0","0",N,"0","0","0","0","0","0","0",2020/12/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-88.6267929080,37.0732917781
"85",1530 Lone Oak Rd,Paducah,McCracken,"Mercy Health-Lourdes Hospital, LLC",270-444-2444,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100304",Lourdes Hospital,"42033",Michael Yungmann,Y,ACUTE,"286","0","0","0",N,"45","0","0","0","0","0","28",2020/05/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-88.6476669311,37.0507316593
"86",464 Linden Ave,Harrodsburg,Mercer,The James B Haggin Memorial Hospital Inc,859-239-2409,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600053",The James B. Haggin Memorial Hospital,"40330",Daniel  McKay,Y,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2021/02/28 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-84.8488311772,37.7569160460
"87",529 Capp Harlan Rd,Tompkinsville,Monroe,Monroe Medical Foundation Inc,270-487-9231,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100338",Monroe County Medical Center,"42167",Vicky McFall,Y,ACUTE,"49","0","0","0",N,"0","0","0","0","0","0","0",2021/02/28 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-85.6765213009,36.6985359195
"88",225 Falcon Dr,Mt Sterling,Montgomery,"Saint Joseph Health System, Inc.",859-497-5018,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100339",Saint Joseph Mount Sterling,"40353",Cinda Fluke,Y,ACUTE,"42","0","0","0",N,"0","0","0","0","0","0","0",2020/12/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-83.9451751707,38.0771484373
"89",476 Liberty Rd,West Liberty,Morgan,Appalachian Regional Healthcare Inc,606-743-3186,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600058",Morgan County ARH Hospital,"41472",Stephen Gavalchik,Y,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2020/03/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-83.2658081049,37.9200248720
"90",440 Hopkinsville St,Greenville,Muhlenberg,"OH Muhlenberg, LLC",270-338-8000,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100344",Owensboro Health Muhlenberg Community Hospital,"42345",Ed Heath,Y,ACUTE,"90","0","0","0",N,"0","0","0","0","0","0","0",2020/08/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-87.1892929075,37.1966857907
"91",4305 New Shepherdsville Rd,Bardstown,Nelson,"Flaget Health, Inc.",502-350-5000,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100348",Flaget Memorial Hospital,"40004",Jennifer Nolan,Y,ACUTE,"40","0","0","0",N,"0","0","0","0","0","0","0",2020/04/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-85.5234069823,37.8617477417
"92",1211 Old Main St,Hartford,Ohio,Ohio County Hospital Corporation,270-298-7411,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600073",Ohio County Hospital,"42347",Blaine Pieper,Y,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2020/09/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-86.8963241577,37.4484558101
"93",1025 New Moody Ln,LaGrange,Oldham,"Baptist Healthcare Systems, Inc.",502-222-5388,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100575",Baptist Health La Grange,"40031",Clint Kaho,Y,ACUTE,"90","0","0","0",N,"0","0","0","0","0","0","0",2020/12/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00,-85.3759994512,38.3954277036
